ShotNumber,Date,Time,FrameRate,Shutter,fnumber
122,,,180000,1/512000,8
123,2023-05-25,14:14:01,180000,1/512000,8
124,2023-05-25,14:15:44,180000,1/512000,8
125,2023-07-26,15:12:00,180000,1/512000,8
126,2023-08-04,12:33:28,288000,1/600000,8
127,2023-08-04,12:37:37,288000,1/600000,8
128,2023-08-04,12:38:03,1000000,tbd,8
129,2023-08-04,14:19:51,1000000,tbd,4
130,2023-08-04,14:20:10,1000000,tbd,4
131,2023-08-04,14:20:27,288000,1/700000,4
132,2023-08-04,15:46:57,288000,1/700000,8
133,2024-10-18,12:41:44,288000,1/700000,8
134,2024-10-21,16:00:15,288000,1/600000,8
135,2024-10-21,16:50:20,288000,1/700000,8
136,2024-10-21,16:52:30,288000,1/700000,8
137,2024-10-21,17:12:10,288000,1/700000,8
138,2024-10-21,17:12:10,288000,1/700000,8
139,2025-04-04,13:18:45,288000,1/700000,8
140,2025-04-04,14:58:44,288000,1/700000,8
141,2025-04-04,16:05:38,288000,1/700000,8
142,2025-04-09,16:59:05,288000,1/700000,8
143,2025-04-09,17:40:23,288000,1/700000,8
144,2025-04-11,16:22:00,288000,1/700000,8
145,2025-04-11,16:58:37,288000,1/700000,8
146,2025-04-15,11:19:22,288000,1/700000,8
147,2025-04-15,14:35:48,288000,1/700000,8
148,2025-04-15,14:57:20,288000,1/700000,8
149,2025-04-15,15:25:26,288000,1/700000,8
150,2025-04-15,15:37:33,288000,1/700000,8
151,2025-04-15,15:59:05,288000,1/700000,8
152,2025-04-15,16:29:04,288000,1/700000,8
153,2025-04-18,10:19:35,288000,1/700000,8
154,2025-04-18,10:43:13,288000,1/700000,8
155,2025-04-18,11:42:20,288000,1/700000,8
156,2025-04-18,12:02:59,288000,1/700000,8
157,2025-04-18,12:19:34,288000,1/700000,8
158,2025-04-24,10:54:42,288000,1/700000,8
159,2025-04-24,11:19:27,288000,1/700000,8
160,2025-04-24,11:35:23,288000,1/700000,8
161,2025-04-24,11:52:07,288000,1/700000,8
162,2025-04-24,13:53:47,288000,1/700000,8
163,2025-04-24,14:10:45,288000,1/700000,8
164,2025-04-24,14:12:42,288000,1/700000,8
165,2025-05-05,13:55:34,288000,1/700000,8
166,2025-05-05,14:19:49,288000,1/700000,8
167,2025-05-05,14:31:28,288000,1/700000,8
168,2025-05-05,14:46:55,288000,1/700000,8
169,2025-05-05,15:03:03,288000,1/700000,8
170,2025-05-05,15:20:14,288000,1/700000,8
171,2025-05-05,15:38:00,288000,1/700000,8
172,2025-05-05,15:49:23,288000,1/700000,8
173,2025-05-05,16:55:11,288000,1/700000,8
174,2025-05-05,17:10:47,288000,1/700000,8
175,2025-05-06,14:40:06,288000,1/700000,8
176,2025-05-06,16:43:39,288000,1/700000,8
177,2025-05-07,14:35:11,288000,1/700000,8
178,2025-05-07,14:44:13,288000,1/700000,8
179,2025-05-07,15:20:19,288000,1/700000,8
180,2025-05-07,15:42:31,288000,1/700000,8
181,2025-05-07,16:04:23,288000,1/700000,8
182,2025-05-07,16:23:31,288000,1/700000,8
183,2025-05-07,16:31:29,288000,1/700000,8
184,2025-05-08,11:33:42,288000,1/700000,8
185,2025-05-08,12:08:32,288000,1/700000,8
186,2025-05-08,12:10:04,288000,1/700000,8
187,2025-05-08,12:31:33,288000,1/700000,8
188,2025-05-08,12:39:26,288000,1/700000,8
189,2025-05-08,12:57:14,288000,1/700000,8
190,2025-05-09,17:19:10,288000,1/700000,8
191,2025-05-09,17:20:55,288000,1/700000,8
192,2025-05-09,17:34:29,288000,1/700000,8
193,2025-05-09,17:54:11,288000,1/700000,8
194,2025-05-10,15:13:27,288000,1/700000,8
195,2025-05-10,16:23:22,288000,1/700000,8
196,2025-05-10,16:38:27,288000,1/700000,8
197,2025-05-10,17:00:29,288000,1/700000,8
198,2025-05-10,17:13:41,288000,1/700000,8
199,2025-05-10,17:43:53,288000,1/700000,8
